page,strip,panel,panel_area,text_area
16,1,2,25020,4995
16,1,3,24480,5900
16,2,0,24640,2852
16,2,1,47872,6801
16,2,2,24640,5621
17,0,0,62604,20184
17,0,1,20586,2148
17,0,2,20155,2404
17,0,3,19321,1699
17,0,4,19599,4906
17,0,5,20294,3739
17,0,6,20300,2394
17,0,7,19600,5069
17,0,8,19599,0
17,0,9,20294,888
18,0,0,25418,2187
18,0,1,24523,3724
18,0,2,25340,2002
18,0,3,25340,3529
18,1,0,25060,2592
18,1,1,24702,4626
18,1,2,24344,7399
18,1,3,24920,3562
18,2,0,25134,3472
18,2,1,24426,4563
18,2,2,23760,0
18,2,3,24150,4757
19,0,0,24920,2705
19,0,1,24208,2649
19,0,2,24702,6291
19,0,3,24881,3731
19,1,0,24702,2578
19,1,1,21838,2613
19,1,2,24344,2053
19,1,3,24881,3098
19,2,0,24603,4541
19,2,1,23895,559
19,2,2,24030,689
19,2,3,24386,3668
20,0,0,62020,13650
20,0,1,20440,0
20,0,2,19734,0
20,0,3,19877,4616
20,0,4,19599,0
20,0,5,20016,0
20,0,6,19734,4074
20,0,7,19596,2041
20,0,8,19180,4786
20,0,9,20002,1040
21,0,0,24920,3896
21,0,1,48688,1961
21,0,2,25060,3022
21,1,0,25239,688
21,1,1,21480,5241
21,1,2,24030,0
21,1,3,25098,1271
21,2,0,24957,3214
21,2,1,21948,0
21,2,2,24072,3598
21,2,3,24957,2504
22,0,0,21301,3483
22,0,1,24742,1263
22,0,2,25239,3667
22,0,3,26492,4656
22,1,0,48416,6956
22,1,1,24603,3562
22,1,2,24957,2884
22,2,0,24564,4325
22,2,1,22072,2325
22,2,2,24072,3293
22,2,3,24780,2184
23,0,0,62322,12666
23,0,1,20586,1571
23,0,2,16520,675
23,0,3,23660,4752
23,0,4,40727,14256
23,0,5,40278,8509
23,0,6,19180,4941
23,0,7,19856,3896
24,0,0,25418,2280
24,0,1,24523,2390
24,0,2,22733,0
24,0,3,24881,4212
24,1,0,24920,4553
24,1,1,24386,3207
24,1,2,24208,7298
24,1,3,24920,5686
24,2,0,24920,3090
24,2,1,48772,6007
24,2,2,24742,2188
25,0,0,24742,2246
25,0,1,48509,4299
25,0,2,24742,6465
25,1,0,24881,4021
25,1,1,48960,14177
25,1,2,25200,8396
25,2,0,23187,3837
25,2,1,23936,2458
25,2,2,24288,3929
25,2,3,24464,4827
26,0,0,61299,16721
26,0,1,20572,2458
26,0,2,20440,1376
26,0,3,19600,3456
26,0,4,19320,2534
26,0,5,20580,2615
26,0,6,20139,4744
26,0,7,19180,4566
26,0,8,18906,0
26,0,9,20139,0
27,0,0,25844,2169
27,0,1,49686,5193
27,0,2,25298,614
27,1,0,24957,4926
27,1,1,24564,3493
27,1,2,24386,5206
27,1,3,24780,3361
27,2,0,24640,4194
27,2,1,24288,5260
27,2,2,23936,2410
27,2,3,24640,2863
28,0,0,25060,3494
28,0,1,24344,3229
28,0,2,24300,0
28,0,3,24881,4940
28,1,0,24816,3047
28,1,1,22528,2381
28,1,2,24112,2785
28,1,3,24640,1393
28,2,0,24742,4266
28,2,1,24030,1916
28,2,2,24344,6699
28,2,3,24881,3102
29,0,0,62181,14406
29,0,1,20868,2268
29,0,2,40866,6388
29,0,3,19321,3556
29,0,4,20433,3697
29,0,5,19600,2274
29,0,6,40866,7424
29,0,7,20433,3117
30,0,0,25098,1725
30,0,1,48867,8925
30,0,2,25060,3166
30,1,0,25239,3123
30,1,1,48867,8014
30,1,2,24742,6927
30,2,0,24500,3360
30,2,1,23275,4564
30,2,2,23625,6819
30,2,3,24325,2962
31,0,0,24603,2704
31,0,1,48675,4387
31,0,2,24603,3158
31,1,0,25098,3243
31,1,1,23140,2349
31,1,2,24030,260
31,1,3,24426,3662
31,2,0,47696,5686
31,2,1,24464,3475
31,2,2,24500,2328
32,0,0,62463,13317
32,0,1,20445,2708
32,0,2,41160,5281
32,0,3,19740,3525
32,0,4,20294,3405
32,0,5,20160,3523
32,0,6,30240,6184
32,0,7,30719,4841
33,0,0,25200,3474
33,0,1,24660,2026
33,0,2,24165,442
33,0,3,25060,2937
33,1,0,24702,4531
33,1,1,24344,3326
33,1,2,24030,5683
33,1,3,24920,4885
33,2,0,24603,4080
33,2,1,24072,4055
33,2,2,23364,0
33,2,3,24500,2688
34,0,0,24742,1766
34,0,1,23140,0
34,0,2,24030,2046
34,0,3,24957,1297
34,1,0,24780,1009
34,1,1,24072,2278
34,1,2,23318,1736
34,1,3,24920,1487
34,2,0,24640,5815
34,2,1,23584,6720
34,2,2,23936,0
34,2,3,24640,3536
35,0,0,63349,14190
35,0,1,20735,0
35,0,2,20586,4529
35,0,3,19740,3933
35,0,4,19600,2360
35,0,5,20160,3890
35,0,6,20440,4345
35,0,7,19460,3018
35,0,8,19460,2596
35,0,9,20155,3838
36,0,0,24881,2619
36,0,1,24523,4837
36,0,2,24030,5302
36,0,3,24920,5051
36,1,0,24742,3858
36,1,1,24386,2980
36,1,2,23674,4131
36,1,3,24564,2796
36,2,0,24920,2937
36,2,1,23852,3544
36,2,2,24030,5077
36,2,3,24920,3471
37,0,0,24480,3710
37,0,1,24300,3780
37,0,2,25060,4539
37,0,3,25060,3910
37,1,0,25239,4499
37,1,1,24344,4892
37,1,2,23852,3563
37,1,3,24742,4246
37,2,0,24603,0
37,2,1,24072,0
37,2,2,23541,0
37,2,3,24288,0
38,0,0,62322,23977
38,0,1,20445,1734
38,0,2,20440,1803
38,0,3,19740,3175
38,0,4,19600,3674
38,0,5,20440,2764
38,0,6,20294,4101
38,0,7,40032,6487
38,0,8,20286,3912
39,0,0,24480,5008
39,0,1,25380,3468
39,0,2,25159,5101
39,0,3,23711,3915
39,1,0,22680,5199
39,1,1,25239,3038
39,1,2,25200,3501
39,1,3,24840,6849
39,2,0,24523,3746
39,2,1,24386,2827
39,2,2,25276,1435
39,2,3,25098,2510
40,0,0,24702,2746
40,0,1,24344,3609
40,0,2,24480,3764
40,0,3,25020,886
40,1,0,25200,3052
40,1,1,24300,2835
40,1,2,24480,2374
40,1,3,25200,4970
40,2,0,24780,5480
40,2,1,23364,2955
40,2,2,23895,0
40,2,3,24603,1828
41,0,0,60858,14812
41,0,1,20010,1320
41,0,2,20440,4568
41,0,3,19740,5146
41,0,4,19600,5087
41,0,5,20300,4699
41,0,6,20155,5459
41,0,7,19877,8384
41,0,8,40588,8564
42,0,0,25098,3586
42,0,1,24386,2764
42,0,2,24208,0
42,0,3,24742,2781
42,1,0,24660,3958
42,1,1,25060,4086
42,1,2,25200,2676
42,1,3,24300,4698
42,2,0,24850,4409
42,2,1,23975,3874
42,2,2,20300,7508
42,2,3,24325,6062
43,0,0,24660,4926
43,0,1,24881,3394
43,0,2,25200,4297
43,0,3,24300,3817
43,1,0,24920,4218
43,1,1,24030,3221
43,1,2,21948,2470
43,1,3,24464,3550
43,2,0,21472,2772
43,2,1,23664,5691
43,2,2,24534,4588
43,2,3,24850,5371
44,0,0,62322,17140
44,0,1,20868,0
44,0,2,41160,5518
44,0,3,19460,523
44,0,4,20433,2384
44,0,5,20294,4131
44,0,6,40180,1169
44,0,7,20424,4592
45,0,0,24603,6650
45,0,1,18231,1052
45,0,2,29216,4488
45,0,3,24640,1975
45,1,0,24742,4179
45,1,1,48594,15080
45,1,2,24603,2439
45,2,0,24640,3560
45,2,1,23936,3414
45,2,2,21700,3695
45,2,3,24500,6027
46,0,0,24978,1452
46,0,1,25521,5628
46,0,2,25480,4391
46,0,3,24752,2848
46,1,0,24616,9008
46,1,1,25020,1221
46,1,2,24840,0
46,1,3,21780,3040
46,2,0,24208,5712
46,2,1,25134,650
46,2,2,24208,1215
46,2,3,24957,0
47,0,0,61577,12698
47,0,1,20155,1872
47,0,2,40866,4707
47,0,3,19599,2391
47,0,4,20155,2629
47,0,5,20727,5068
47,0,6,30174,5216
47,0,7,30660,1932
48,0,0,24881,1117
48,0,1,32040,3128
48,0,2,16380,504
48,0,3,25200,5203
48,1,0,25060,1862
48,1,1,24702,3403
48,1,2,24702,7059
48,1,3,24881,2875
48,2,0,24249,3116
48,2,1,24780,4323
48,2,2,24780,2400
48,2,3,24249,4824
49,0,0,24881,2028
49,0,1,24523,6662
49,0,2,24344,2310
49,0,3,25060,4742
49,1,0,25060,2000
49,1,1,17721,1738
49,1,2,29714,4860
49,1,3,24881,2962
49,2,0,24500,4180
49,2,1,23625,3596
49,2,2,23975,3963
49,2,3,24012,3326
50,0,0,62020,13955
50,0,1,20580,3639
50,0,2,41144,750
50,0,3,19600,1845
50,0,4,20580,1422
50,0,5,20580,1559
50,0,6,19600,1612
50,0,7,41300,8350
51,0,0,25200,3406
51,0,1,24660,3580
51,0,2,24660,1882
51,0,3,25020,5646
51,1,0,25060,3671
51,1,1,24523,5517
51,1,2,23091,5923
51,1,3,25098,5249
51,2,0,24920,2973
51,2,1,48772,3239
51,2,2,24780,4049
52,0,0,25020,5528
52,0,1,24480,4049
52,0,2,23986,6320
52,0,3,25418,1607
52,1,0,25200,1556
52,1,1,24300,3168
52,1,2,23220,3042
52,1,3,25200,4411
52,2,0,23760,1656
52,2,1,25060,6249
52,2,2,25159,2413
52,2,3,24616,3515
53,0,0,60168,14943
53,0,1,20010,1299
53,0,2,20294,3553
53,0,3,19321,3310
53,0,4,40449,5107
53,0,5,39615,0
53,0,6,20294,1806
53,0,7,20424,3524
54,0,0,25200,3264
54,0,1,24840,1554
54,0,2,24660,3985
54,0,3,25200,6695
54,1,0,25200,2860
54,1,1,49413,5096
54,1,2,25020,2804
54,2,0,25098,1847
54,2,1,24030,4398
54,2,2,24208,4629
54,2,3,25098,2070
55,0,0,24881,3930
55,0,1,24344,1520
55,0,2,24386,2772
55,0,3,24742,2032
55,1,0,24881,3530
55,1,1,26492,5110
55,1,2,21538,2743
55,1,3,24920,4969
55,2,0,48594,3436
55,2,1,24957,2552
55,2,2,24603,3297
56,0,0,62040,17185
56,0,1,20586,3901
56,0,2,41020,2312
56,0,3,19599,3532
56,0,4,20445,3590
56,0,5,20440,2940
56,0,6,40180,10626
56,0,7,20155,3328
57,0,0,25560,6297
57,0,1,24660,4483
57,0,2,24344,6155
57,0,3,25060,2778
57,1,0,25418,5606
57,1,1,27745,5183
57,1,2,18079,7475
57,1,3,25239,7093
57,2,0,25276,3158
57,2,1,24030,3573
57,2,2,24386,1262
57,2,3,24464,2859
58,0,0,24464,1627
58,0,1,23936,4395
58,0,2,23056,5306
58,0,3,24675,4177
58,1,0,25239,2326
58,1,1,24523,1330
58,1,2,22784,2919
58,1,3,25098,377
58,2,0,24603,2395
58,2,1,24072,0
58,2,2,23895,2624
58,2,3,24603,0
59,0,0,62622,13209
59,0,1,20874,3941
59,0,2,16402,2269
59,0,3,23352,6308
59,0,4,40727,12820
59,0,5,20155,17700
59,0,6,26966,8515
59,0,7,33396,5913
60,0,0,49320,9832
60,0,1,25060,6488
60,0,2,25060,7857
60,1,0,25521,2232
60,1,1,20453,3228
60,1,2,28417,2052
60,1,3,24881,1645
60,2,0,24523,3828
60,2,1,24780,2829
60,2,2,25276,4021
60,2,3,24030,0
61,0,0,25060,3662
61,0,1,24165,2759
61,0,2,24523,8003
61,0,3,24386,1880
61,1,0,24480,5285
61,1,1,25380,2852
61,1,2,25200,4673
61,1,3,25020,5100
61,2,0,24249,2890
61,2,1,22479,3803
61,2,2,23895,2808
61,2,3,24426,3718
62,0,0,61239,12853
62,0,1,19317,2657
62,0,2,20580,3941
62,0,3,19600,4052
62,0,4,41005,5622
62,0,5,20433,4147
62,0,6,30719,4300
62,0,7,29607,5280
63,0,0,24920,3150
63,0,1,48772,5461
63,0,2,24603,3453
63,1,0,24030,3541
63,1,1,25276,3901
63,1,2,24920,4266
63,1,3,24386,3631
63,2,0,24564,3073
63,2,1,24208,1814
63,2,2,24426,3744
63,2,3,24603,1366
64,0,0,24957,3729
64,0,1,24072,2212
64,0,2,23140,6709
64,0,3,24742,4043
64,1,0,25060,0
64,1,1,48420,2275
64,1,2,24881,1702
64,2,0,24742,0
64,2,1,23674,0
64,2,2,24208,5768
64,2,3,24426,2350
65,0,0,62906,18730
65,0,1,20448,1313
65,0,2,14420,3533
65,0,3,25900,5567
65,0,4,19740,3629
65,0,5,20155,4218
65,0,6,20440,5591
65,0,7,19740,7936
65,0,8,40727,7157
66,0,0,25380,3354
66,0,1,25020,2769
66,0,2,24660,6293
66,0,3,25060,5296
66,1,0,25020,4617
66,1,1,24660,4173
66,1,2,24660,3331
66,1,3,25060,4458
66,2,0,24780,3491
66,2,1,48950,6689
66,2,2,24920,3005
67,0,0,48960,8643
67,0,1,25239,3894
67,0,2,25060,2583
67,1,0,25020,2386
67,1,1,24480,5506
67,1,2,24300,2446
67,1,3,24840,465
67,2,0,24780,0
67,2,1,24249,4241
67,2,2,23760,2268
67,2,3,24640,6134
68,0,0,62622,17546
68,0,1,20306,925
68,0,2,20445,2662
68,0,3,20022,0
68,0,4,19738,0
68,0,5,20304,6720
68,0,6,20155,1716
68,0,7,19599,560
68,0,8,19321,2415
68,0,9,19872,4860
69,0,0,24920,4496
69,0,1,24208,7501
69,0,2,24208,4932
69,0,3,24426,3583
69,1,0,25098,3913
69,1,1,24386,5595
69,1,2,24523,5922
69,1,3,25060,5112
69,2,0,24640,2355
69,2,1,24072,2160
69,2,2,22656,0
69,2,3,24780,4937
70,0,0,25020,4186
70,0,1,24480,3659
70,0,2,24660,2684
70,0,3,25020,6751
70,1,0,24881,4183
70,1,1,24344,2451
70,1,2,24165,7835
70,1,3,24702,5948
70,2,0,24603,2970
70,2,1,48144,12255
70,2,2,24780,3260
71,0,0,63492,16043
71,0,1,20735,516
71,0,2,41890,4907
71,0,3,19880,3946
71,0,4,20300,3529
71,0,5,19881,3657
71,0,6,41172,5423
71,0,7,20572,2620
72,0,0,24603,5288
72,0,1,13706,1940
72,0,2,33115,4800
72,0,3,24881,7574
72,1,0,24920,0
72,1,1,24523,2388
72,1,2,23091,0
72,1,3,25239,2920
72,2,0,24426,2908
72,2,1,24249,3990
72,2,2,22302,3679
72,2,3,24603,3647
73,0,0,25200,0
73,0,1,24480,5658
73,0,2,24165,429
73,0,3,25239,1860
73,1,0,18974,2609
73,1,1,25098,5805
73,1,2,25098,3046
73,1,3,28658,3753
73,2,0,24957,2539
73,2,1,23895,1412
73,2,2,23584,3294
73,2,3,24325,2410
74,0,0,62160,12425
74,0,1,20440,0
74,0,2,41005,6083
74,0,3,19599,6341
74,0,4,20294,6405
74,0,5,20286,3106
74,0,6,19320,574
74,0,7,40572,7806
75,0,0,24881,4648
75,0,1,24165,5960
75,0,2,24344,3417
75,0,3,25239,3999
75,1,0,24881,6808
75,1,1,24344,4027
75,1,2,24165,4611
75,1,3,25098,4820
75,2,0,24742,2691
75,2,1,48594,8131
75,2,2,24742,4337
76,0,0,25060,3014
76,0,1,24344,6748
76,0,2,24208,3936
76,0,3,24564,3702
76,1,0,25200,4423
76,1,1,24480,4203
76,1,2,24344,5229
76,1,3,24564,5834
76,2,0,25239,2954
76,2,1,24344,4865
76,2,2,24523,2904
76,2,3,24920,835
77,0,0,61740,13539
77,0,1,20300,756
77,0,2,41160,3400
77,0,3,19599,2226
77,0,4,20300,6744
77,0,5,20294,3357
77,0,6,13066,2258
77,0,7,17792,4801
77,0,8,28078,4909
78,0,0,24344,504
78,0,1,24702,3519
78,0,2,24881,2412
78,0,3,24344,4654
78,1,0,49051,4470
78,1,1,25380,1044
78,1,2,25200,4819
78,2,0,24660,6108
78,2,1,24386,3334
78,2,2,25060,3999
78,2,3,23628,5042
79,0,0,24881,2460
79,0,1,24165,3407
79,0,2,24165,1554
79,0,3,25239,4349
79,1,0,24881,1440
79,1,1,28103,2542
79,1,2,19690,1705
79,1,3,24702,3325
79,2,0,24742,4377
79,2,1,24208,4972
79,2,2,23852,5058
79,2,3,24957,4255
80,0,0,61880,15260
80,0,1,20440,2275
80,0,2,15120,1890
80,0,3,24920,4397
80,0,4,24881,3885
80,0,5,15012,840
80,0,6,20572,8667
80,0,7,19460,4142
80,0,8,19321,3005
80,0,9,20433,2984
81,0,0,24881,5777
81,0,1,24523,4752
81,0,2,24208,5176
81,0,3,25098,5788
81,1,0,24881,5211
81,1,1,24523,3308
81,1,2,24030,0
81,1,3,24920,4816
81,2,0,24920,4063
81,2,1,24386,2478
81,2,2,49662,9617
82,0,0,24742,0
82,0,1,24208,4339
82,0,2,24386,2882
82,0,3,24920,5576
82,1,0,25020,4364
82,1,1,49140,10037
82,1,2,24702,6260
82,2,0,24920,4362
82,2,1,24208,4041
82,2,2,24386,6145
82,2,3,24426,5665
83,0,0,62463,13475
83,0,1,20445,3744
83,0,2,20580,4891
83,0,3,19740,3342
83,0,4,41160,3490
83,0,5,47600,8693
83,0,6,34860,9792
84,0,0,25340,2673
84,0,1,49413,10175
84,0,2,25380,3370
84,1,0,25200,5130
84,1,1,24660,4201
84,1,2,24480,4127
84,1,3,25560,9712
84,2,0,25134,4248
84,2,1,48238,6714
84,2,2,25311,3656
85,0,0,25098,6813
85,0,1,21894,4662
85,0,2,24208,8887
85,0,3,25098,7018
85,1,0,25200,4475
85,1,1,24480,2833
85,1,2,24840,4929
85,1,3,25060,6113
85,2,0,25134,1407
85,2,1,24386,5880
85,2,2,24386,6041
85,2,3,24742,3612
86,0,0,61577,19691
86,0,1,19877,3070
86,0,2,25298,6238
86,0,3,14734,3361
86,0,4,40449,6470
86,0,5,20572,5196
86,0,6,45175,8138
86,0,7,15042,3040
87,0,0,26850,5814
87,0,1,24881,5543
87,0,2,24920,5378
87,0,3,20470,2739
87,1,0,25200,3418
87,1,1,49140,9364
87,1,2,25200,3065
87,2,0,25060,1317
87,2,1,21659,13540
87,2,2,24702,0
87,2,3,25060,3782
88,0,0,25020,2904
88,0,1,24660,1425
88,0,2,24660,1515
88,0,3,25060,1387
88,1,0,25060,4249
88,1,1,24523,3803
88,1,2,24344,7530
88,1,3,24920,6871
88,2,0,24603,3074
88,2,1,48321,3909
88,2,2,24603,2891
89,0,0,62463,14881
89,0,1,20304,3217
89,0,2,19599,5673
89,0,3,40158,7609
89,0,4,20286,2640
89,0,5,13160,2692
89,0,6,32200,5811
89,0,7,13622,2384
89,0,8,20286,4171
90,0,0,25200,3019
90,0,1,24480,3043
90,0,2,24660,2072
90,0,3,25418,2400
90,1,0,25662,1356
90,1,1,24934,4013
90,1,2,24797,832
90,1,3,25560,3980
90,2,0,25098,3760
90,2,1,22606,6694
90,2,2,24208,6510
90,2,3,24920,2405
91,0,0,47077,4207
91,0,1,26850,3903
91,0,2,24920,4517
91,1,0,25200,3780
91,1,1,24480,3187
91,1,2,24660,4463
91,1,3,25020,5671
91,2,0,24603,3897
91,2,1,24072,2029
91,2,2,23895,1365
91,2,3,24426,3257
92,0,0,61438,10385
92,0,1,20155,0
92,0,2,14734,0
92,0,3,25159,2242
92,0,4,24881,2186
92,0,5,14490,0
92,0,6,20572,0
92,0,7,13205,1680
92,0,8,25530,936
92,0,9,19872,3810
93,0,0,25200,2007
93,0,1,24616,4792
93,0,2,24660,6770
93,0,3,25200,4538
93,1,0,24780,1230
93,1,1,24030,5355
93,1,2,24030,3249
93,1,3,24742,6843
93,2,0,25239,3060
93,2,1,48867,5168
93,2,2,25098,2906
94,0,0,24920,5640
94,0,1,24386,5756
94,0,2,24386,2112
94,0,3,25098,6570
94,1,0,25239,2529
94,1,1,24523,4984
94,1,2,24165,2116
94,1,3,25239,3464
94,2,0,21480,4830
94,2,1,24386,2436
94,2,2,24742,2890
94,2,3,24920,0
95,0,0,41300,15039
95,0,1,19740,4512
95,0,2,20155,3300
95,0,3,20580,3122
95,0,4,19460,4661
95,0,5,14840,0
95,0,6,11676,0
95,0,7,11954,2049
95,0,8,20580,2630
95,0,9,13300,1152
95,0,10,11537,1880
95,0,11,13248,4458
95,0,12,19734,3987
96,0,0,24920,5527
96,0,1,24208,5022
96,0,2,22833,7084
96,0,3,24780,7694
96,1,0,25200,3726
96,1,1,48960,9645
96,1,2,25239,4767
96,2,0,63012,21094
96,2,1,74226,21240
96,2,2,62481,20586
96,2,3,10858,144
96,2,4,24603,6541
97,0,0,25239,1492
97,0,1,21122,3044
97,0,2,24702,1562
97,0,3,25098,2025
97,1,0,25020,2814
97,1,1,24120,2527
97,1,2,50220,2804
97,2,0,24881,4280
97,2,1,24523,3293
97,2,2,24386,4012
97,2,3,25098,3201
98,0,0,61855,12712
98,0,1,20016,1463
98,0,2,14766,3038
98,0,3,24978,3602
98,0,4,24564,5687
98,0,5,14490,1431
98,0,6,20572,2961
98,0,7,28217,3920
98,0,8,32109,2667
99,0,0,25060,4396
99,0,1,24660,5685
99,0,2,24480,0
99,0,3,25060,3878
99,1,0,24742,4595
99,1,1,24165,5940
99,1,2,24480,4145
99,1,3,25060,8125
99,2,0,24881,2234
99,2,1,24344,5537
99,2,2,24616,6711
99,2,3,25200,3614
100,0,0,28080,4867
100,0,1,25200,5414
100,0,2,25020,3172
100,0,3,19620,4763
100,1,0,25239,3519
100,1,1,24523,3835
100,1,2,24208,5645
100,1,3,25098,7296
100,2,0,24957,1890
100,2,1,24249,4635
100,2,2,24072,2553
100,2,3,24957,5372
101,0,0,61438,12216
101,0,1,20294,2479
101,0,2,26549,2350
101,0,3,13066,637
101,0,4,26220,3100
101,0,5,13248,1342
101,0,6,20300,5149
101,0,7,13580,2970
101,0,8,25480,4132
101,0,9,20300,120
102,0,0,24480,5839
102,0,1,25560,4841
102,0,2,25239,4373
102,0,3,24344,4905
102,1,0,25060,1988
102,1,1,24344,2718
102,1,2,50120,5365
102,2,0,25098,0
102,2,1,24208,3120
102,2,2,24072,11161
102,2,3,24640,0
103,0,0,25060,0
103,0,1,23040,0
103,0,2,24523,3679
103,0,3,25418,4403
103,1,0,24881,1900
103,1,1,24523,2692
103,1,2,24344,4450
103,1,3,24881,2438
103,2,0,24920,5443
103,2,1,27590,4205
103,2,2,20114,3918
103,2,3,24742,6263
104,0,0,63048,18027
104,0,1,20732,3156
104,0,2,15680,3379
104,0,3,25134,3930
104,0,4,41313,2911
104,0,5,21158,4981
104,0,6,35321,3386
104,0,7,26838,3756
105,0,0,25098,3678
105,0,1,24523,5127
105,0,2,24523,4732
105,0,3,24702,3991
105,1,0,21780,4329
105,1,1,24881,9473
105,1,2,25239,4001
105,1,3,24702,5649
105,2,0,24920,3617
105,2,1,24208,2962
105,2,2,24426,7515
105,2,3,24603,5972
106,0,0,22204,6702
106,0,1,24702,3359
106,0,2,25060,8261
106,0,3,25380,5225
106,1,0,24840,1964
106,1,1,25200,887
106,1,2,25521,2625
106,1,3,21358,4022
106,2,0,24702,5245
106,2,1,24780,8553
106,2,2,24920,3674
106,2,3,24564,3724
107,0,0,61880,12476
107,0,1,20440,462
107,0,2,14980,2242
107,0,3,25480,1558
107,0,4,40866,3104
107,0,5,20586,2507
107,0,6,13818,2939
107,0,7,21684,6359
107,0,8,24186,3485
108,0,0,24920,2004
108,0,1,23091,3241
108,0,2,24344,5697
108,0,3,25239,4246
108,1,0,48688,9697
108,1,1,25098,312
108,1,2,24920,2099
108,2,0,25060,5571
108,2,1,49046,12089
108,2,2,25060,5545
109,0,0,24523,5153
109,0,1,24702,6203
109,0,2,25098,1674
109,0,3,24920,6028
109,1,0,24881,0
109,1,1,28640,6426
109,1,2,19332,224
109,1,3,25418,5362
109,2,0,24603,4562
109,2,1,24072,2663
109,2,2,24249,5940
109,2,3,24780,2698
110,0,0,62764,15759
110,0,1,20732,1140
110,0,2,13020,0
110,0,3,42280,3706
110,0,4,26320,1461
110,0,5,20440,4551
